Lang	Prec	Recall	F1
ace	1	0.99	0.99
afr	0.95	0.98	0.97
als	0.89	0.91	0.9
amh	1	0.99	0.99
ang	0.98	0.94	0.96
ara	0.98	0.99	0.99
arg	0.95	0.96	0.96
arz	0.99	0.99	0.99
asm	1	0.97	0.98
ast	0.88	0.96	0.92
ava	0.95	0.87	0.91
aym	0.99	0.94	0.97
azb	1	1	1
aze	1	0.99	0.99
bak	0.99	0.99	0.99
bar	0.87	0.87	0.87
bcl	0.97	0.95	0.96
be-tarask	0.99	0.93	0.96
bel	0.93	0.98	0.96
ben	1	0.97	0.98
bho	1	0.96	0.98
bjn	0.98	0.81	0.89
bod	1	0.99	1
bos	0.65	0.64	0.64
bpy	1	1	1
bre	0.99	0.97	0.98
bul	0.96	0.98	0.97
bxr	0.95	0.9	0.92
cat	0.95	0.94	0.95
cbk	0.92	0.44	0.6
cdo	1	1	1
ceb	0.99	1	1
ces	0.97	0.99	0.98
che	1	1	1
chr	1	0.99	1
chv	1	0.97	0.98
ckb	0.96	0.92	0.94
cor	1	0.98	0.99
cos	0.99	0.97	0.98
crh	0.95	0.99	0.97
csb	0.99	0.99	0.99
cym	1	0.96	0.98
dan	0.71	0.97	0.82
deu	0.76	0.9	0.83
diq	0.99	0.97	0.98
div	1	1	1
dsb	1	0.93	0.96
dty	0.96	0.97	0.96
egl	0.98	0.97	0.98
ell	1	0.99	1
eng	0.44	0.87	0.59
epo	0.99	0.96	0.98
est	0.94	0.96	0.95
eus	0.98	0.99	0.99
ext	0.96	0.92	0.94
fao	0.99	0.97	0.98
fas	0.97	0.95	0.96
fin	0.96	0.99	0.98
fra	0.73	0.93	0.82
frp	0.99	0.9	0.94
fry	0.96	0.98	0.97
fur	0.97	0.98	0.98
gag	0.96	0.95	0.96
gla	0.99	0.98	0.98
gle	1	0.99	0.99
glg	0.93	0.98	0.95
glk	0.92	1	0.96
glv	1	0.98	0.99
grn	1	0.97	0.98
guj	1	0.96	0.98
hak	1	0.99	1
hat	1	0.99	0.99
hau	1	1	1
hbs	0.59	0.56	0.58
heb	1	1	1
hif	0.95	0.93	0.94
hin	1	0.88	0.93
hrv	0.61	0.65	0.63
hsb	0.95	0.99	0.97
hun	0.99	1	0.99
hye	1	0.99	0.99
ibo	0.85	0.95	0.9
ido	0.97	0.99	0.98
ile	0.92	0.94	0.93
ilo	0.93	0.97	0.95
ina	0.96	0.92	0.94
ind	0.62	0.82	0.7
isl	0.97	0.99	0.98
ita	0.88	0.97	0.92
jam	0.99	0.99	0.99
jav	0.93	0.95	0.94
jbo	1	1	1
jpn	1	0.99	0.99
kaa	0.99	1	1
kab	1	0.92	0.96
kan	1	1	1
kat	1	0.98	0.99
kaz	1	1	1
kbd	1	1	1
khm	0.94	0.91	0.93
kin	0.98	0.92	0.95
kir	0.99	0.99	0.99
koi	0.93	0.98	0.95
kok	0.97	0.94	0.96
kom	0.98	0.95	0.97
kor	1	1	1
krc	1	0.99	0.99
ksh	1	0.86	0.93
kur	1	0.98	0.99
lad	0.98	0.96	0.97
lao	0.99	0.95	0.97
lat	0.85	0.96	0.9
lav	1	0.94	0.97
lez	0.98	0.98	0.98
lij	0.99	0.96	0.98
lim	0.9	0.97	0.93
lin	0.95	0.95	0.95
lit	1	0.98	0.99
lmo	0.97	0.96	0.97
lrc	0.98	0.95	0.96
ltg	0.94	1	0.97
ltz	0.93	0.98	0.96
lug	0.99	0.98	0.99
lzh	1	1	1
mai	0.9	0.99	0.94
mal	1	0.99	0.99
map-bms	0.87	0.84	0.86
mar	1	0.97	0.98
mdf	0.99	0.98	0.99
mhr	1	0.97	0.98
min	0.97	1	0.99
mkd	1	0.97	0.98
mlg	0.99	1	0.99
mlt	1	0.99	0.99
mon	0.94	1	0.97
mri	1	0.99	0.99
mrj	1	0.99	0.99
msa	0.74	0.6	0.66
mwl	0.95	0.98	0.96
mya	1	1	1
myv	0.95	0.96	0.96
mzn	1	0.97	0.98
nan	1	1	1
nap	0.95	0.97	0.96
nav	1	1	1
nci	0.95	0.92	0.93
nds	0.93	0.93	0.93
nds-nl	0.9	0.86	0.88
nep	0.97	0.96	0.96
new	1	0.97	0.98
nld	0.93	0.91	0.92
nno	0.98	0.72	0.83
nob	0.77	0.64	0.7
nrm	0.99	0.95	0.97
nso	0.99	0.95	0.97
oci	0.89	0.86	0.87
olo	1	0.95	0.98
ori	1	0.97	0.98
orm	0.98	0.96	0.97
oss	1	1	1
pag	0.99	0.92	0.95
pam	0.96	0.85	0.9
pan	1	0.99	1
pap	0.95	0.97	0.96
pcd	0.84	0.88	0.86
pdc	0.57	0.95	0.72
pfl	0.86	0.85	0.85
pnb	1	0.98	0.99
pol	0.99	0.99	0.99
por	0.96	0.93	0.95
pus	1	0.95	0.98
que	0.99	0.96	0.97
roa-tara	0.99	0.97	0.98
roh	0.96	0.98	0.97
ron	0.98	0.99	0.98
rue	0.95	0.98	0.96
rup	0.96	0.94	0.95
rus	0.85	0.99	0.91
sah	1	0.99	0.99
san	0.99	0.99	0.99
scn	0.98	0.99	0.99
sco	0.92	0.96	0.94
sgs	1	0.99	0.99
sin	1	0.97	0.98
slk	0.99	0.99	0.99
slv	0.97	0.96	0.96
sme	0.99	0.99	0.99
sna	0.99	0.93	0.96
snd	1	0.99	1
som	0.99	0.98	0.98
spa	0.67	0.9	0.77
sqi	1	0.97	0.98
srd	0.98	0.97	0.97
srn	0.99	0.98	0.98
srp	0.99	0.94	0.96
stq	0.99	0.97	0.98
sun	0.99	0.97	0.98
swa	0.93	0.95	0.94
swe	0.99	0.99	0.99
szl	0.99	0.99	0.99
tam	1	0.99	1
tat	1	0.98	0.99
tcy	1	1	1
tel	1	0.97	0.98
tet	0.96	0.91	0.93
tgk	1	0.99	0.99
tgl	0.99	0.95	0.97
tha	0.99	0.99	0.99
ton	1	0.99	1
tsn	0.98	0.98	0.98
tuk	1	0.99	1
tur	0.97	0.93	0.95
tyv	0.99	0.99	0.99
udm	1	0.99	0.99
uig	1	0.99	0.99
ukr	0.99	0.95	0.97
urd	0.99	0.99	0.99
uzb	1	0.99	0.99
vec	0.99	0.98	0.98
vep	0.98	1	0.99
vie	1	0.99	0.99
vls	0.97	0.94	0.95
vol	1	1	1
vro	0.99	0.97	0.98
war	1	0.99	0.99
wln	0.99	0.98	0.98
wol	0.97	0.96	0.97
wuu	1	0.97	0.98
xho	0.99	0.95	0.97
xmf	1	0.99	0.99
yid	1	1	1
yor	0.96	0.92	0.94
zea	0.97	0.91	0.94
zh-yue	1	0.94	0.97
zho	1	0.99	0.99
average	0.96	0.95	0.95
